,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,full_name
his_L_c,0.0,-2.105764740547349,-2.0003579851405937,-2.10576474054735,-2.0003579851405937,-6.983798633798635,-2.3540594540594553,L-Histidine (c)
his_L_m,0.0,-2.105764740547349,-2.0003579851405937,-2.10576474054735,-2.0003579851405937,-6.983798633798635,-2.3540594540594553,L-Histidine (m)
his_L_c,-2.1057647405473494,0.0,0.0,0.0,0.0,0.0,0.0,L-Histidine (c)
his_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-Histidine (e)
his_L_m,-2.1057647405473494,0.0,0.0,0.0,0.0,0.0,0.0,L-Histidine (m)
hmbil_c,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,Hydroxymethylbilane (c)
hmbil_c,12.593085175693869,0.0,0.0,0.0,0.0,0.0,0.0,Hydroxymethylbilane (c)
hmgcoa_m,0.0,-1.127380962163571,-0.7297297297297298,-1.1273809621635704,-1.5380764945982344,-14.762189162189165,-7.037848637848641,(S)-3-Hydroxy-3-methylglutaryl-CoA (m)
hmgcoa_m,0.45605158648636857,0.0,0.0,0.0,0.0,0.0,0.0,(S)-3-Hydroxy-3-methylglutaryl-CoA (m)
ibcoa_m,0.0,0.8083467648685041,0.5346686216251432,0.808346764868504,0.658641710815623,15.805437805437807,-1.6216216216216217,2-Methylpropanoyl-CoA (m)
ibcoa_m,1.7204499378412417,0.0,0.0,0.0,0.0,0.0,0.0,2-Methylpropanoyl-CoA (m)
icit_c,0.0,-1.6168088081131557,-1.5114020527064005,-1.6168088081131566,-1.5114020527064005,-7.935151335151336,-0.8797351297351304,Isocitrate (c)
icit_m,0.0,-1.7141061054104532,-1.7141061054104532,-1.7141061054104534,-1.7141061054104532,-8.762178362178364,-2.7459513459513465,Isocitrate (m)
icit_c,-1.6168088081131562,0.0,0.0,0.0,0.0,0.0,0.0,Isocitrate (c)
icit_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isocitrate (e)
icit_m,-1.7141061054104534,0.0,0.0,0.0,0.0,0.0,0.0,Isocitrate (m)
ile_L_c,0.0,-0.7170420648681519,-1.388371440545353,-0.0,-0.0,-0.0,-0.0,L-Isoleucine (c)
ile_L_m,0.0,-0.7170420648681519,-1.388371440545353,-0.0,-0.0,-0.0,-0.0,L-Isoleucine (m)
ile_L_c,-1.388371440545354,0.0,0.0,0.0,0.0,0.0,0.0,L-Isoleucine (c)
ile_L_e,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,L-Isoleucine (e)
ile_L_m,-1.388371440545354,0.0,0.0,0.0,0.0,0.0,0.0,L-Isoleucine (m)
imp_c,0.0,2.0,2.0,2.0,0.20599799730234514,2.0,5.054064854064856,IMP (c)
imp_c,2.7012977621673278,0.0,0.0,0.0,0.0,0.0,0.0,IMP (c)
ivcoa_m,0.0,0.41069553243466284,0.8083467648685041,0.4106955324346634,0.0,-15.654081054081056,-7.929740529740533,3-Methylbutanoyl-CoA (m)
